Question,Answer,Answer Key,A,B,C,D,E,Source
게타의 순화어로 알맞은 것은?,"보(토목), 도리(건축)",E,"망체, 그물체","틀, 골",회반죽,"가로, 옆","보(토목), 도리(건축)",대한건설단체총연합회
게비키의 순화어로 알맞은 것은?,"금긋개, 금쇠",A,"금긋개, 금쇠",창대,땅고르기,창선반,밑돌,대한건설단체총연합회
게아게의 순화어로 알맞은 것은?,단높이,E,멍에,미끄럼 막이,큰보,하도급,단높이,대한건설단체총연합회
게이샤의 순화어로 알맞은 것은?,"경사, 물매",D,기초,토분먹임,휜철근,"경사, 물매",자갈수멍,대한건설단체총연합회
겐나와의 순화어로 알맞은 것은?,칸자,D,꺾쇠,비계띠장,"널 말뚝(토)
흙막이널(건)",칸자,반장(쌓기),대한건설단체총연합회
겐노의 순화어로 알맞은 것은?,쇠메,E,휜철근,기초,"요철, 울퉁불퉁",흙뜨기,쇠메,대한건설단체총연합회
겐노다타키의 순화어로 알맞은 것은?,메다듬(기),B,평떼,메다듬(기),땅고르기,"속임(수), 야바위","리벳치기,
버섯못치기",대한건설단체총연합회
겐바의 순화어로 알맞은 것은?,현장,E,펴고르기,시공이음,눈먹임,공시체(供試體),현장,대한건설단체총연합회
겐바우치콘크리트구이의 순화어로 알맞은 것은?,"현장콘크리트말뚝(토)
제자리콘크리트말뚝(건)",A,"현장콘크리트말뚝(토)
제자리콘크리트말뚝(건)",창(窓),"층계, 계단",늘이기,"보(토목), 도리(건축)",대한건설단체총연합회
겐바하이고의 순화어로 알맞은 것은?,"현장배합, 현장섞기",B,재칠,"현장배합, 현장섞기",바탕,물끊기,접자,대한건설단체총연합회
겐슨이타의 순화어로 알맞은 것은?,원척본판(原尺本板),C,"바룸돌, 다듬은돌",재벌칠,원척본판(原尺本板),갈고리(hook),우두머리,대한건설단체총연합회
겐슨즈의 순화어로 알맞은 것은?,원척도(原尺圖),A,원척도(原尺圖),재벌칠,"선심, 호기",자,비계공,대한건설단체총연합회
겐치이시의 순화어로 알맞은 것은?,송곳닛돌,B,"메쌓기(토),
건성쌓기(건)",송곳닛돌,큰직각자,"거친면, 채석면",(들)뜬돌,대한건설단체총연합회
겐칸의 순화어로 알맞은 것은?,현관(문간),C,나사못,수도꼭지,현관(문간),이음매,두 치 각,대한건설단체총연합회
겟소쿠센의 순화어로 알맞은 것은?,"묶음줄, 결속선",C,칸자,자,"묶음줄, 결속선",앞지르기,띠장재,대한건설단체총연합회
고구치의 순화어로 알맞은 것은?,"마구리, 잔머리",E,벽돌나누기,임시물막이,"변통, 둘러치기",초인종,"마구리, 잔머리",대한건설단체총연합회
고구치쓰미의 순화어로 알맞은 것은?,마구리 쌓기,D,본판,"윗면, 꼭대기",선술,마구리 쌓기,"윤지우기, 윤끄기",대한건설단체총연합회
고다타키의 순화어로 알맞은 것은?,잔다듬(기),E,버팀대,"창문선, 틀",본판,물갈기,잔다듬(기),대한건설단체총연합회
고테의 순화어로 알맞은 것은?,흙손,D,"채비, 준비",큰보,오 푼 널,흙손,"노루발 장도리,
쇠지레",대한건설단체총연합회
고란의 순화어로 알맞은 것은?,"난간, 난간끝,
난간머리",C,현장식당,"통줄눈, 통사춤","난간, 난간끝,
난간머리","창호(窓戶), 창문",외줄비계,대한건설단체총연합회
고바리의 순화어로 알맞은 것은?,작은보,E,걸레받이,"졸대, 나무오리",대문기둥,비계띠장,작은보,대한건설단체총연합회
고바이의 순화어로 알맞은 것은?,"기울기, 물매",D,호박돌,"윤지우기, 윤끄기","붉은벽돌,
빨강벽돌","기울기, 물매","찰 쌓 기(토)
사춤쌓기(건)",대한건설단체총연합회
고부다시의 순화어로 알맞은 것은?,혹두기,D,시공이음,흙막이,굵은철선/쇠줄,혹두기,앞지르기,대한건설단체총연합회
고야구미의 순화어로 알맞은 것은?,지붕틀,B,"맞댐면, 접합면",지붕틀,"갈아내기, 갈기",돌가루,통나무,대한건설단체총연합회
고야바리의 순화어로 알맞은 것은?,지붕보,A,지붕보,지붕틀,호박돌,틈막이 자갈,"바닥, 마루",대한건설단체총연합회
교시타이의 순화어로 알맞은 것은?,공시체(供試體),E,밑면,정 다듬(기),평떼,곡괭이,공시체(供試體),대한건설단체총연합회
구게키의 순화어로 알맞은 것은?,빈틈,C,"주물, 무쇠붙이","나눠내기, 각자부담, 추렴",빈틈,벽돌,건널목,대한건설단체총연합회
구로의 순화어로 알맞은 것은?,검정,B,장남감,검정,천장,"거듭비비기
다시비비기",돌쌓기,대한건설단체총연합회
구루마의 순화어로 알맞은 것은?,수레,A,수레,천장,지붕(바탕)널,비계다리,"양판문, 양널문",대한건설단체총연합회
구리이시의 순화어로 알맞은 것은?,"막돌, 호박돌",B,"양판문, 양널문","막돌, 호박돌","산뜻이, 시원스럽게, 깨끗이",땅고르기,(들)뜬돌,대한건설단체총연합회
구미타테의 순화어로 알맞은 것은?,"조립(組立)짜기,
짜맞추기",E,"속임(수), 야바위",띠장재,막자갈,기다림,"조립(組立)짜기,
짜맞추기",대한건설단체총연합회
구미타테아시바의 순화어로 알맞은 것은?,틀비계,D,"달비계, 매단비계","울거미, 문틀",두치오푼각,틀비계,미장이,대한건설단체총연합회
구사비의 순화어로 알맞은 것은?,쐐기,B,솔칠,쐐기,지붕이기,사태(沙汰),뒷길이,대한건설단체총연합회
구이의 순화어로 알맞은 것은?,말뚝,A,말뚝,"반자틀, 반잣대","토관(土管), 흙대롱","붉은벽돌,
빨강벽돌","돌나누기, 돌벼름",대한건설단체총연합회
구이우치의 순화어로 알맞은 것은?,말뚝박기,A,말뚝박기,홈파기,창(窓),끌어들이기,헛간,대한건설단체총연합회
구칸쓰미의 순화어로 알맞은 것은?,공간 쌓기,B,쐐기,공간 쌓기,"노루발 장도리,
쇠지레",처마홈통,적중,대한건설단체총연합회
구기의 순화어로 알맞은 것은?,못,C,통나무 비계,"양판문, 양널문",못,지붕틀,온통파기,대한건설단체총연합회
기가타의 순화어로 알맞은 것은?,나무틀,C,뒤채움,"현장콘크리트말뚝(토)
제자리콘크리트말뚝(건)",나무틀,송곳닛돌,"네모돌, 각석, 모돌",대한건설단체총연합회
기고테의 순화어로 알맞은 것은?,나무흙손,B,"금형, 쇠거푸집",나무흙손,"경사, 물매",솔칠,"짐작, 어림",대한건설단체총연합회
기카이네리의 순화어로 알맞은 것은?,"기계비빔, 틀반죽",D,창호 철물,"찰흙,진흙,점토(粘土)",천장,"기계비빔, 틀반죽","짐작, 어림",대한건설단체총연합회
기도리의 순화어로 알맞은 것은?,"마름질,
나무마름질",D,문틀선,산자갈,돌쌓기,"마름질,
나무마름질",걸레받이,대한건설단체총연합회
기렛파시의 순화어로 알맞은 것은?,"동강(나무),
끄트러기, 자투리",B,틀비계,"동강(나무),
끄트러기, 자투리",체가름,끝마구리,누름콘크리트,대한건설단체총연합회
기레쓰의 순화어로 알맞은 것은?,"균열, 갈림",B,지붕틀,"균열, 갈림",통나무,밑면,젖빛유리,대한건설단체총연합회
기리의 순화어로 알맞은 것은?,송곳,A,송곳,벽돌쌓기,"줄치기, 줄쳐보기",중도리,나무틀,대한건설단체총연합회
기리바리의 순화어로 알맞은 것은?,버팀대,B,"덮개, 씌우개, 포장",버팀대,혹두기,큰보,끝마구리,대한건설단체총연합회
기리이시의 순화어로 알맞은 것은?,"바룸돌, 다듬은돌",D,외쪽깎기,다짐대,줄눈나누기,"바룸돌, 다듬은돌",길이쌓기,대한건설단체총연합회
기리카에의 순화어로 알맞은 것은?,바꾸기,C,"침하(沈下),
내려앉기","토사(土砂), 흙모래",바꾸기,"너비, 폭","덮개, 씌우개, 포장",대한건설단체총연합회
기리코미의 순화어로 알맞은 것은?,막자갈,E,다짐대,함자물쇠,육 푼 널,처마홈통,막자갈,대한건설단체총연합회
기리토리의 순화어로 알맞은 것은?,흙깎기,B,"함석, 아연철판",흙깎기,"줄눈흙손, 사춤인두","끌어들임줄(선), 들줄",받침대,대한건설단체총연합회
기소의 순화어로 알맞은 것은?,기초,E,"받침대, 지주,
동바리",창대,깔도리,"물비빔, 물반죽",기초,대한건설단체총연합회
기소콘쿠리의 순화어로 알맞은 것은?,기초콘크리트,A,기초콘크리트,"가득, 한껏","비꼬기, 비웃음",한장(쌓기),줄,대한건설단체총연합회
기즈리의 순화어로 알맞은 것은?,"졸대, 나무오리",E,세 치 각,원척본판(原尺本板),깔도리,모서리,"졸대, 나무오리",대한건설단체총연합회
긴케쓰자이의 순화어로 알맞은 것은?,죌감,D,기준틀,구멍철판,"요철, 울퉁불퉁",죌감,잔다듬(기),대한건설단체총연합회
긴초키의 순화어로 알맞은 것은?,죄개,C,각목(角木),오 푼 널,죄개,"거죽두께, 덮임두께","돌나누기, 돌벼름",대한건설단체총연합회
나가테쓰미의 순화어로 알맞은 것은?,길이쌓기,A,길이쌓기,건널목,"품삯(노임), 계산, 셈",줄,치수,대한건설단체총연합회
나라시의 순화어로 알맞은 것은?,고르기,C,돌쌓기,버릇,고르기,버팀대,정 다듬(기),대한건설단체총연합회
나미날합판의 순화어로 알맞은 것은?,적층합판(積層合板),B,내관,적층합판(積層合板),"침하(沈下),
내려앉기","막돌, 호박돌","흙쌓기, 흙돋우기",대한건설단체총연합회
나와바리의 순화어로 알맞은 것은?,"줄치기, 줄쳐보기",A,"줄치기, 줄쳐보기","중턱, 둑턱",늘이기,"붉은벽돌,
빨강벽돌",여유,대한건설단체총연합회
나이칸의 순화어로 알맞은 것은?,내관,A,내관,삼 푼 널,재벌바름,"만회, 되돌림",각재(角材),대한건설단체총연합회
나카누리의 순화어로 알맞은 것은?,재벌칠,C,"야장(野帳),
땅재기책",반장(쌓기),재벌칠,"심보, 본색",흙뜨기,대한건설단체총연합회
나카누리의 순화어로 알맞은 것은?,재벌바름,B,막자갈,재벌바름,공시체(供試體),"금형, 쇠거푸집","채움재, 채움감",대한건설단체총연합회
낫토의 순화어로 알맞은 것은?,"너트, 암나사",E,바꾸기,현장식당,높이,되비비기,"너트, 암나사",대한건설단체총연합회
네코의 순화어로 알맞은 것은?,"굄재(chair), 굄감",D,널(판),한치두푼각,시공이음,"굄재(chair), 굄감",시멘트풀칠,대한건설단체총연합회
네다의 순화어로 알맞은 것은?,"장선(長線), 받침목",A,"장선(長線), 받침목","끌어들임줄(선), 들줄",돌쌓기,멍에,기초,대한건설단체총연합회
네리카에시의 순화어로 알맞은 것은?,되비비기,D,"셈, 계산",녹막이 칠,철판,되비비기,원척본판(原尺本板),대한건설단체총연합회
네리나오시의 순화어로 알맞은 것은?,"거듭비비기
다시비비기",C,견제,"리벳홀더, 받침판","거듭비비기
다시비비기",다짐대,"속임(수), 야바위",대한건설단체총연합회
네리쓰미의 순화어로 알맞은 것은?,"찰 쌓 기(토)
사춤쌓기(건)",B,"망체, 그물체","찰 쌓 기(토)
사춤쌓기(건)",정벌바름(덧칠),수도꼭지,"돌림띠, 쇠시리",대한건설단체총연합회
네이시의 순화어로 알맞은 것은?,밑돌,A,밑돌,메다듬(기),"챌면, 챌판","리벳홀더, 받침판","석재(石材), 돌",대한건설단체총연합회
네지의 순화어로 알맞은 것은?,나사,B,천장,나사,"만회, 되돌림",물다짐,배반,대한건설단체총연합회
네지마와시의 순화어로 알맞은 것은?,나사돌리개(드라이버),A,나사돌리개(드라이버),메다듬(기),"현장배합, 현장섞기",벽돌나누기,"받침목, 침목(枕木)",대한건설단체총연합회
넨도의 순화어로 알맞은 것은?,"찰흙,진흙,점토(粘土)",C,"선반, 시렁",쌍줄비계,"찰흙,진흙,점토(粘土)","부본(副本), 덧벌, 베낌벌",평떼,대한건설단체총연합회
노리의 순화어로 알맞은 것은?,비탈,A,비탈,시공이음,"선심, 호기",곡괭이,길이쌓기,대한건설단체총연합회
노리비키의 순화어로 알맞은 것은?,시멘트풀칠,D,지붕,"풋내기, 애숭이, 신출내기","현장콘크리트말뚝(토)
제자리콘크리트말뚝(건)",시멘트풀칠,먹매김,대한건설단체총연합회
노리지리의 순화어로 알맞은 것은?,비탈끝,B,"담합, 짬짜미",비탈끝,흠,"밑창콘크리트
버림콘크리트","미레자, 곱자,
곡척",대한건설단체총연합회
노미의 순화어로 알맞은 것은?,"정, 끌",A,"정, 끌","마른비빔, 건비빔",깔도리,"줄눈, 사춤",자갈수멍,대한건설단체총연합회
노미키리의 순화어로 알맞은 것은?,정 다듬(기),E,칸막이,평떼,뒷길이,"가득, 한껏",정 다듬(기),대한건설단체총연합회
노바시의 순화어로 알맞은 것은?,늘이기,A,늘이기,우선지급,창호 철물,죌감,철근,대한건설단체총연합회
노보리산바시의 순화어로 알맞은 것은?,비계다리,B,모서리,비계다리,손비비기,물다짐,채석장(採石場),대한건설단체총연합회
노부치의 순화어로 알맞은 것은?,"반자틀, 반잣대",A,"반자틀, 반잣대",물끊기,달대,"야장(野帳),
땅재기책",띠장재,대한건설단체총연합회
노즈라의 순화어로 알맞은 것은?,"거친면, 채석면",C,모서리,"거죽두께, 덮임두께","거친면, 채석면","갈아내기, 갈기",현장식당,대한건설단체총연합회
노지이타의 순화어로 알맞은 것은?,지붕(바탕)널,D,외쪽돋기,세치(9cm)각재,끌어들이기,지붕(바탕)널,외줄비계,대한건설단체총연합회
노키의 순화어로 알맞은 것은?,처마,B,"리벳홀더, 받침판",처마,"망체, 그물체",삽입근,"아무림, 마무리",대한건설단체총연합회
노키게타의 순화어로 알맞은 것은?,처마도리,C,수평보기,시멘트풀칠,처마도리,"면박, 핀잔","메쌓기(토),
건성쌓기(건)",대한건설단체총연합회
노키다카의 순화어로 알맞은 것은?,처마높이,E,"셈, 계산","받침대, 지주,
동바리",눈금,칸막이,처마높이,대한건설단체총연합회
노키덴조의 순화어로 알맞은 것은?,처마반자,C,두장(쌓기),반침,처마반자,돌쌓기,말뚝박기,대한건설단체총연합회
노키도이의 순화어로 알맞은 것은?,처마홈통,E,시멘트풀칠,적중,처마도리,벽돌나누기,처마홈통,대한건설단체총연합회
누노기소의 순화어로 알맞은 것은?,줄기초,C,가장자리,끌어들이기,줄기초,"기울기, 물매",버팀대,대한건설단체총연합회
누노마루타의 순화어로 알맞은 것은?,비계띠장,A,비계띠장,"굄재(chair), 굄감","바꾸기, 바꿔대기","틀, 울거미, 테","터파기, 골파기",대한건설단체총연합회
누노보리의 순화어로 알맞은 것은?,줄기초 파기,B,세 치 각,줄기초 파기,수평 띠장,"붉은벽돌,
빨강벽돌",버릇,대한건설단체총연합회
누리카에의 순화어로 알맞은 것은?,재칠,A,재칠,"시방서, 방법서","받침목, 침목(枕木)","끌어들임줄(선), 들줄",처마홈통,대한건설단체총연합회
니마이의 순화어로 알맞은 것은?,두장(쌓기),A,두장(쌓기),"받침쇠, 와셔
(washer)","너비, 폭","바꾸기, 바꿔대기","발판, 비계",대한건설단체총연합회
니즈쿠리의 순화어로 알맞은 것은?,짐꾸리기,C,흙뜨기,곁꾼,짐꾸리기,"바닥, 마루","토관(土管), 흙대롱",대한건설단체총연합회
다가네의 순화어로 알맞은 것은?,"정, 강철끌",D,다짐,손비비기,"줄눈, 사춤","정, 강철끌",본뜨기,대한건설단체총연합회
다나의 순화어로 알맞은 것은?,"선반, 시렁",C,기다림,"마른비빔, 건비빔","선반, 시렁","무늬, 바탕",비계다리,대한건설단체총연합회
다루키의 순화어로 알맞은 것은?,서까래,C,처마도리,"축도(築島), 임시섬",서까래,흙밭,깬돌,대한건설단체총연합회
다마이시의 순화어로 알맞은 것은?,호박돌,C,다림추,꺾쇠,호박돌,씻어내기,물끊기,대한건설단체총연합회
다이의 순화어로 알맞은 것은?,받침대,D,"마름질,
나무마름질","부본(副本), 덧벌, 베낌벌",녹막이,받침대,"선심, 호기",대한건설단체총연합회
다테의 순화어로 알맞은 것은?,세로,E,"틀, 울거미, 테",입방미터(㎥),네 치 각,이음매,세로,대한건설단체총연합회
다테구의 순화어로 알맞은 것은?,"창호(窓戶), 창문",C,나무벽돌,"희롱, 놀림","창호(窓戶), 창문","현장콘크리트말뚝(토)
제자리콘크리트말뚝(건)","선심, 호기",대한건설단체총연합회
다테구카나모노의 순화어로 알맞은 것은?,창호 철물,B,"윗면, 꼭대기",창호 철물,"받침대, 지주,
동바리","사석, 베풂돌","안목, 안치수",대한건설단체총연합회
다테도이의 순화어로 알맞은 것은?,선홈통,D,"정, 강철끌",대문기둥,"메쌓기(토),
건성쌓기(건)",선홈통,웃창,대한건설단체총연합회
다테마에의 순화어로 알맞은 것은?,세우기,B,정벌바름(덧칠),세우기,"층계, 계단","속임(수), 야바위",줄기초,대한건설단체총연합회
다테메지의 순화어로 알맞은 것은?,"세로줄눈, 세로사춤",E,철사,흙뜨기,두치오푼각,"너트, 암나사","세로줄눈, 세로사춤",대한건설단체총연합회
다테와쿠의 순화어로 알맞은 것은?,선틀,E,"거듭비비기
다시비비기",벽돌,"세로줄눈, 세로사춤",벽,선틀,대한건설단체총연합회
단카의 순화어로 알맞은 것은?,들것,B,"상태, 가락",들것,다림추,"노루발 장도리,
쇠지레",헛간,대한건설단체총연합회
단고오의 순화어로 알맞은 것은?,"담합, 짬짜미",C,갈고리(hook),"3mm합판,
1푼합판","담합, 짬짜미",건널목,깬돌,대한건설단체총연합회
단도리의 순화어로 알맞은 것은?,"채비, 준비",B,빈틈,"채비, 준비","리벳홀더, 받침판",물푸기,큰보,대한건설단체총연합회
닷파의 순화어로 알맞은 것은?,높이,E,"물막이 공, 마감",버팀대,띠철근,큰직각자,높이,대한건설단체총연합회
데코보코의 순화어로 알맞은 것은?,"요철, 울퉁불퉁",C,줄,받침대,"요철, 울퉁불퉁",견제,"담합, 짬짜미",대한건설단체총연합회
데코의 순화어로 알맞은 것은?,지렛대,E,"윗면, 꼭대기",처마도리,"경사, 물매",고름질,지렛대,대한건설단체총연합회
데나오시의 순화어로 알맞은 것은?,재손질,E,정벌칠(덧칠),돌쌓기,"줄치기, 줄쳐보기",처마도리,재손질,대한건설단체총연합회
데네리의 순화어로 알맞은 것은?,손비비기,B,"흙쌓기, 흙돋우기",손비비기,ㅅ(시옷) 자보,시공이음,함석(판),대한건설단체총연합회
데마의 순화어로 알맞은 것은?,품(삯),C,띠철근,정 다듬(기),품(삯),꺾쇠,바탕만들기,대한건설단체총연합회
데마치의 순화어로 알맞은 것은?,기다림,C,눈금,"함석, 아연철판",기다림,틀송곳,"기울기, 물매",대한건설단체총연합회
데마친의 순화어로 알맞은 것은?,품삯,A,품삯,호박돌,우선지급,적층합판(積層合板),"장선(長線), 받침목",대한건설단체총연합회
데모토의 순화어로 알맞은 것은?,곁꾼,A,곁꾼,"망체, 그물체","추렴, 주식",구멍철판,"비꼬기, 비웃음",대한건설단체총연합회
데스리의 순화어로 알맞은 것은?,난간,C,"면박, 핀잔","마감, 끝냄",난간,"줄치기, 줄쳐보기","다시하기,
고쳐하기",대한건설단체총연합회
데쓰마쿠라기의 순화어로 알맞은 것은?,쇠침목,E,외쪽돋기,잠김상자,갈아감기,"네모돌, 각석, 모돌",쇠침목,대한건설단체총연합회
데즈라의 순화어로 알맞은 것은?,출역(出役),A,출역(出役),산,"초보자, 풋내기",재벌칠,줄기초 파기,대한건설단체총연합회
덴바의 순화어로 알맞은 것은?,"윗면, 꼭대기",B,띠철근,"윗면, 꼭대기",접자,죌감,외쪽깎기,대한건설단체총연합회
덴자이의 순화어로 알맞은 것은?,"채움재, 채움감",C,"짐작, 어림",나사돌리개(드라이버),"채움재, 채움감","칸델라, 호롱불","마무리, 끝손질,
뒷손질",대한건설단체총연합회
덴죠의 순화어로 알맞은 것은?,천장,D,"비꼬기, 비웃음",책꽂이,흙뜨기,천장,웃창,대한건설단체총연합회
뎃킨의 순화어로 알맞은 것은?,철근,B,"줄치기, 줄쳐보기",철근,"메쌓기(토),
건성쌓기(건)",얼룩빼기,한장(쌓기),대한건설단체총연합회
뎃판의 순화어로 알맞은 것은?,철판,B,나사,철판,"바꾸기, 바꿔대기",체질,큰직각자,대한건설단체총연합회
도가타(노가타)의 순화어로 알맞은 것은?,(건설현장근로자),D,우선지급,쐐기,출역(出役),(건설현장근로자),"갈아내기, 갈기",대한건설단체총연합회
도구루의 순화어로 알맞은 것은?,문바퀴,A,문바퀴,"판때기, 패널","요철, 울퉁불퉁",재손질,돌망태,대한건설단체총연합회
도기다시의 순화어로 알맞은 것은?,"갈아내기, 갈기",E,"윤내기, 광내기",물다짐,"통줄눈, 통사춤","거친면, 채석면","갈아내기, 갈기",대한건설단체총연합회
도노코의 순화어로 알맞은 것은?,토분,E,큰보,"적산(積算),포갬셈",무지개 거푸집,멍에,토분,대한건설단체총연합회
도노코즈리의 순화어로 알맞은 것은?,토분먹임,D,"비꼬기, 비웃음",온통파기,처마,토분먹임,상자,대한건설단체총연합회
도탄의 순화어로 알맞은 것은?,함석(판),C,한 치 각,"갈아내기, 갈기",함석(판),"갓돌, 턱돌",수도꼭지,대한건설단체총연합회
도도리의 순화어로 알맞은 것은?,흙뜨기,E,현장식당,"배합(配合),
섞음푼수",오 푼 널,뒷길이,흙뜨기,대한건설단체총연합회
도도리바의 순화어로 알맞은 것은?,흙밭,B,길이쌓기,흙밭,회반죽,정벌바름(덧칠),문틀선,대한건설단체총연합회
도도메의 순화어로 알맞은 것은?,흙막이,A,흙막이,창틀,두 치 각,견제,"울거미, 문틀",대한건설단체총연합회
도라푸의 순화어로 알맞은 것은?,"냄새막이관
트랩(trap)",A,"냄새막이관
트랩(trap)",강모래,"창호(窓戶), 창문",웃창,벽돌나누기,대한건설단체총연합회
도롯푸한마(드랩해머)의 순화어로 알맞은 것은?,"떨공이
(drop hammer)",E,"달비계, 매단비계",줄,다짐대,비계공,"떨공이
(drop hammer)",대한건설단체총연합회
도마의 순화어로 알맞은 것은?,"다짐바닥, 토방",E,송곳,"찰흙,진흙,점토(粘土)",사태(沙汰),"끌어들임줄(선), 들줄","다짐바닥, 토방",대한건설단체총연합회
도비의 순화어로 알맞은 것은?,비계공,D,"줄치기, 줄쳐보기",(건설현장근로자),"나눠내기, 각자부담, 추렴",비계공,미장이,대한건설단체총연합회
도샤의 순화어로 알맞은 것은?,"토사(土砂), 흙모래",C,"받침목, 침목(枕木)",산자갈,"토사(土砂), 흙모래","금형, 쇠거푸집",(건설현장근로자),대한건설단체총연합회
도와쿠의 순화어로 알맞은 것은?,문틀,C,기다림,쇠침목,문틀,"현장배합, 현장섞기",산,대한건설단체총연합회
도이의 순화어로 알맞은 것은?,홈통,E,창선반,평떼,"바룸돌, 다듬은돌",토분,홈통,대한건설단체총연합회
도칸(노칸)의 순화어로 알맞은 것은?,"토관(土管), 흙대롱",C,휜철근,흙손,"토관(土管), 흙대롱","무늬, 바탕",모래,대한건설단체총연합회
도탄의 순화어로 알맞은 것은?,"함석, 아연철판",C,고르기,작은각목,"함석, 아연철판",녹막이 칠,기둥나누기,대한건설단체총연합회
란마의 순화어로 알맞은 것은?,웃창,A,웃창,물다짐,구멍철판,다짐,"마감, 끝냄",대한건설단체총연합회
란쓰미의 순화어로 알맞은 것은?,"막쌓기, 허튼쌓기",E,책임자,흙막이,팔 푼 널,지붕,"막쌓기, 허튼쌓기",대한건설단체총연합회
렌가의 순화어로 알맞은 것은?,벽돌,A,벽돌,"양판문, 양널문","거듭비비기
다시비비기",녹막이 칠,"변통, 둘러치기",대한건설단체총연합회
렌가와리의 순화어로 알맞은 것은?,벽돌나누기,D,"바닥, 마루",기준틀,미끄럼 막이,벽돌나누기,손비비기,대한건설단체총연합회
렌가쓰미의 순화어로 알맞은 것은?,벽돌쌓기,D,"무늬, 바탕",문틀선,"찰흙,진흙,점토(粘土)",벽돌쌓기,중도리,대한건설단체총연합회
류베의 순화어로 알맞은 것은?,입방미터(㎥),D,굴뚝,바탕,"울거미, 문틀",입방미터(㎥),꺾쇠,대한건설단체총연합회
말구의 순화어로 알맞은 것은?,끝마구리,C,"도금, 올림, 입힘",현관(문간),끝마구리,"초보자, 풋내기","짐작, 어림",대한건설단체총연합회
마쿠라기의 순화어로 알맞은 것은?,"받침목, 침목(枕木)",C,동바리,잔다듬(기),"받침목, 침목(枕木)",큰직각자,갈고리(hook),대한건설단체총연합회
마구사의 순화어로 알맞은 것은?,"테두리보, 윗인방",D,"리벳치기,
버섯못치기",문막이널,굵은철선/쇠줄,"테두리보, 윗인방",팔 푼 널,대한건설단체총연합회
마도의 순화어로 알맞은 것은?,창(窓),E,호박돌,"줄치기, 줄쳐보기",곡괭이,"뿜칠, 뿜어붙이기",창(窓),대한건설단체총연합회
마도다이의 순화어로 알맞은 것은?,창대,A,창대,버팀대,"견적(見積), 어림셈",견제,기둥,대한건설단체총연합회
마도와쿠의 순화어로 알맞은 것은?,창틀,C,"돌림띠, 쇠시리","틀, 골",창틀,"바닥, 마루",비계목,대한건설단체총연합회
마루타의 순화어로 알맞은 것은?,통나무,A,통나무,나무틀,뒤채움,걸레받이,문틀선,대한건설단체총연합회
마루타아시바의 순화어로 알맞은 것은?,통나무 비계,C,"틀, 울거미, 테",녹막이,통나무 비계,팔 푼 널,"잡석(雜石), 막돌",대한건설단체총연합회
마에가리의 순화어로 알맞은 것은?,우선지급,D,눈먹임,틀송곳,잠수부(潛水夫),우선지급,곡괭이,대한건설단체총연합회
마지키리의 순화어로 알맞은 것은?,칸막이,E,앞지르기,창(窓),"장선(長線), 받침목",재벌바름,칸막이,대한건설단체총연합회
마키의 순화어로 알맞은 것은?,"말이, 사리",B,줄,"말이, 사리",곡괭이,"가로, 옆",띠장재,대한건설단체총연합회
마키자쿠의 순화어로 알맞은 것은?,줄자,B,흠,줄자,얼룩빼기,체질,반장(쌓기),대한건설단체총연합회
마키카에의 순화어로 알맞은 것은?,갈아감기,B,"시방서, 방법서",갈아감기,씻은자갈,비탈끝,"굄재(chair), 굄감",대한건설단체총연합회
메도메의 순화어로 알맞은 것은?,눈먹임,E,모래,사태(沙汰),상자,"막돌, 호박돌",눈먹임,대한건설단체총연합회
메모리의 순화어로 알맞은 것은?,눈금,C,창(窓),"밑창콘크리트
버림콘크리트",눈금,얼룩빼기,"난간, 난간끝,
난간머리",대한건설단체총연합회
메쓰부시자리의 순화어로 알맞은 것은?,틈막이 자갈,B,미끄럼 막이,틈막이 자갈,나무틀,강모래,무지개 거푸집,대한건설단체총연합회
메지의 순화어로 알맞은 것은?,"줄눈, 사춤",D,뼈대(골조),심먹(心墨),끝마구리,"줄눈, 사춤","줄눈대,사춤대",대한건설단체총연합회
메지고테의 순화어로 알맞은 것은?,"줄눈흙손, 사춤인두",B,꺾쇠,"줄눈흙손, 사춤인두",흠,온통파기,도맡기,대한건설단체총연합회
메지보리의 순화어로 알맞은 것은?,"줄눈파기,사춤파기",C,"틀, 울거미, 테",각재(角材),"줄눈파기,사춤파기","바꾸기, 바꿔대기",나사못,대한건설단체총연합회
메지보의 순화어로 알맞은 것은?,"줄눈대,사춤대",E,버릇,"건비빔, 건반죽",정벌바름(덧칠),창선반,"줄눈대,사춤대",대한건설단체총연합회
메지와리의 순화어로 알맞은 것은?,줄눈나누기,B,"떨공이
(drop hammer)",줄눈나누기,쌍줄비계,산모래,공간 쌓기,대한건설단체총연합회
메치가이의 순화어로 알맞은 것은?,턱솔,A,턱솔,납땜,처마,웃창,"토관(土管), 흙대롱",대한건설단체총연합회
메쿠라안쿄의 순화어로 알맞은 것은?,자갈수멍,D,반장(쌓기),무지개 거푸집,리벳구멍,자갈수멍,"결판, 흥정",대한건설단체총연합회
멘도리의 순화어로 알맞은 것은?,모접기,E,내쌓기,"거꿀씌움
역 라이닝",꽂이 쇠,높이,모접기,대한건설단체총연합회
멧키의 순화어로 알맞은 것은?,"도금, 올림, 입힘",B,출역(出役),"도금, 올림, 입힘",(건설현장근로자),각목(角木),"적산(積算),포갬셈",대한건설단체총연합회
